Additional file 6 Relative abundance of each microbiota at genus level,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
taxonomy,Median (Interquatile range),,,,,,,,,,,,,,
,all subject,Group 1,Group 2,Group 3,Group 4,Group 10,Group 20,Group 30,Group 40,Group 50,Group 60,Group 70,Group 80,Group 90,Group 100
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella,0.02(0.06-1.06),0(0-0.16),0(0-0.1),0.05(0.02-0),0.05(0-0.08),0.05(0.01-0.06),0.01(0-0.08),0.02(0-0.06),0.03(0-0.1),0.02(0-0.05),0(0-0.02),0.03(0.01-0.05),0(0-0.05),0(0-0.02),0.03(0-0.09)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other,0.02(0.1-2.92),0(0-0),0(0-0),0.06(0.01-0),0.17(0.04-0.2),0.02(0-0.07),0.02(0-0.05),0.01(0-0.04),0.02(0-0.06),0(0-0.02),0.02(0-0.11),0.04(0-0.08),0.03(0-0.17),0.18(0.05-0.41),0(0-0.02)
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,0.02(0.09-8.99),0(0-0),0(0-0),0.02(0-0),0.05(0-0.14),0.06(0.01-0.08),0.02(0-0.12),0.05(0-0.14),0(0-0.1),0(0-0.06),0.02(0-0.04),0.02(0-0.1),0.01(0-0.05),0.02(0-0.08),0.01(0-0.07)
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter,0.02(0.11-7.2),0(0-0),0(0-0),0.06(0-0),0.02(0-0.1),0.05(0.01-0.13),0.02(0-0.1),0(0-0.06),0.05(0-0.08),0(0-0.03),0.02(0-0.17),0.01(0-0.05),0.05(0.01-0.65),0.39(0.02-1.03),0(0-0)
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella,0(0.03-31.38),0(0-0.05),0.07(0-1.61),0(0-0),0(0-0.02),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0.14),0.11(0.03-0.9),0.4(0.09-1.98),0(0-0.03)
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,0(0.05-17.11),0(0-0),0(0-0),0(0-0),0(0-0.01),0(0-0),0.01(0-0.11),0(0-0.04),0(0-0.02),0(0-0.02),0.02(0-0.22),0.01(0-0.16),0.02(0-0.18),0.09(0.01-0.34),0.13(0-0.26)
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium,0(0-13.06),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0.02),0(0-0.01),0(0-0)
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,0(0-79.43),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0.01),0(0-0.01),0.04(0.02-0.17)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,0(0.04-12.98),0(0-0.59),0.78(0.49-4.26),0.24(0.06-0),0.01(0-0.19),0.03(0-0.1),0(0-0),0(0-0.02),0(0-0.02),0(0-0.02),0(0-0),0.01(0-0.05),0.01(0-0.04),0(0-0),0(0-0.01)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,0(0.07-13.08),0(0-0),0(0-0),0(0-0),0(0-0.03),0(0-0),0(0-0.02),0(0-0.02),0(0-0.05),0(0-0.02),0.02(0-0.09),0(0-0.06),0.14(0.03-0.4),1.18(0.42-2.1),0.45(0.19-0.52)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas,0(0-5.76),0(0-0),0(0-0),0(0-0),0(0-0.02),0(0-0),0(0-0.01),0(0-0),0(0-0),0(0-0.73),0(0-0),0(0-0.02),0(0-0.02),0(0-0),0(0-0)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister,0(0.07-4.19),0(0-0),0(0-0),0(0-0),0.03(0-0.42),0.09(0-0.5),0(0-0.06),0(0-0.02),0(0-0.21),0(0-0.2),0(0-0),0(0-0.09),0(0-0.11),0(0-0.02),0(0-0)
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,0(0.05-3.24),0(0-0),0(0-0),0(0-0),0.01(0-0.06),0(0-0),0(0-0),0(0-0.02),0(0-0),0(0-0.04),0(0-0.2),0.01(0-0.12),0.01(0-0.11),0.07(0.01-0.79),0.2(0.06-0.27)
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Citrobacter,0(0-15.38),0(0-0),0(0-0.09),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0.02),0.01(0-0.05),0(0-0.01),0(0-0)
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,0(0-16.04),0.23(0.06-0.81),0(0-0.01),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0.02),0(0-0.02),0(0-0)
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,0(0.02-4.04),0(0-0),0(0-0),0.02(0-0),0(0-0),0(0-0.02),0(0-0.02),0(0-0.09),0(0-0.01),0(0-0.02),0(0-0.02),0(0-0.02),0(0-0.02),0(0-0.01),0(0-0)
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,0(0.03-3.06),0(0-0),0(0-0.01),0(0-0),0(0-0),0(0-0.02),0(0-0.02),0(0-0.02),0(0-0.02),0(0-0),0(0-0),0.02(0-0.02),0.03(0.02-0.06),0.04(0.02-0.12),0.06(0.03-0.47)
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__,0(0.04-1.35),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0.06),0(0-0.06),0(0-0.11),0(0-0.02),0.03(0-0.07),0(0-0.09),0(0-0.07),0(0-0.03),0.04(0-0.37)
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0(0.02-3.83),0(0-0),0(0-0.17),0(0-0),0(0-0),0.01(0-0.07),0(0-0.02),0(0-0.03),0(0-0.04),0(0-0.03),0(0-0),0(0-0),0(0-0.04),0(0-0),0(0-0)
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__,0(0-1.93),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0.36),0(0-0.08),0(0-0.02),0.02(0-0.16),0.05(0-0.11)
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,0(0-2.07),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0.04(0-0.16),0.22(0.09-0.52),0.18(0.08-0.34)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera,0(0-3.69),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0.02),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0.02),0(0-0),0(0-0.03)
